Serial Number,Year,Title,Baseline Primary Class,Baseline Secondary Class,Baseline Tertiary Class,Baseline Top1_score,Baseline Top2_score,Baseline margin_12,BART Primary Class,BART Primary Desc,BART Secondary Class,BART Secondary Desc,BART Tertiary Class,BART Tertiary Desc,BART Reasoning,BART Top1_score,BART Top2_score,BART margin_12,Primary agrees
457,1991,Stacked pole-piece ferrofluid seal apparatus,24,28,22,0.03654732182621956,0.03608942776918411,0.00045789405703544617,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.101), 45 Application - Flow (0.053), 16 Material - Handling of (0.053)",0.10141173005104065,0.05317302793264389,0.04823870211839676,False
283,2004,Ellipsoid generator,49,21,24,0.051713727414608,0.05125460401177406,0.0004591234028339386,50,Review - Survey,28,Stability and other,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.080), 28 Computation - Stability and other (0.068), 16 Material - Handling of (0.055)",0.07998423278331757,0.06793949753046036,0.012044735252857208,False
436,2006,Electrospinning of fine hollow fibers,49,21,24,0.051713727414608,0.05125460401177406,0.0004591234028339386,50,Review - Survey,48,"Levitation, Spin of droplets",37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.099), 48 Application - Levitation, Spin of droplets (0.065), 37 Experimentation - Other than evaluation indicated in class 14 above (0.064)",0.09947275370359421,0.06525053828954697,0.03422221541404724,False
208,1981,Self-activating ferrofluid seals,11,24,38,0.07542728632688522,0.07496407628059387,0.0004632100462913513,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.069), 50 Review - Survey (0.069), 16 Material - Handling of (0.057)",0.0693802684545517,0.0693797618150711,5.066394805908203e-07,False
416,1989,Reversible agglutination mediators for separating cells from whole blood,24,28,49,0.041760239750146866,0.04129692167043686,0.0004633180797100067,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.076), 16 Material - Handling of (0.074), 13 Material - Properties (0.062)",0.07613521069288254,0.07399614155292511,0.002139069139957428,False
415,2004,Compound loudspeaker drive unit having a magnet system,41,40,24,0.06745534390211105,0.06697596609592438,0.000479377806186676,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 45 Application - Flow (0.064), 16 Material - Handling of (0.063)",0.07432948052883148,0.06384413689374924,0.010485343635082245,False
446,2007,Spherical and magnetical silicagel carriers having an increase surface for purifying nucleic acids,37,40,49,0.04468121752142906,0.044189661741256714,0.000491555780172348,50,Review - Survey,42,Biomedical,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.075), 42 Application - Biomedical (0.059), 14 Material - Evaluation / Characterization (0.051)",0.0752401351928711,0.05867971107363701,0.016560424119234085,False
94,1992,FERROFLUID COMPOSITIONS,16,28,48,0.046186212450265884,0.04569362476468086,0.000492587685585022,50,Review - Survey,14,Evaluation / Characterization,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.076), 14 Material - Evaluation / Characterization (0.058), 28 Computation - Stability and other (0.055)",0.07625273615121841,0.05752239376306534,0.018730342388153076,False
1021,2014,Assembly for detecting more than one rotation through a position encoder magnet,49,24,12,0.03896721452474594,0.03845759481191635,0.0005096197128295898,50,Review - Survey,28,Stability and other,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.075), 28 Computation - Stability and other (0.065), 16 Material - Handling of (0.054)",0.07517831027507782,0.06518704444169998,0.009991265833377838,False
1113,2017,Electrical Device With Low Friction Contact Parts,49,24,12,0.03896721452474594,0.03845759481191635,0.0005096197128295898,50,Review - Survey,15,"Manipulation, Droplets, other",16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.089), 15 Material - Manipulation, Droplets, other (0.053), 16 Material - Handling of (0.050)",0.08897194266319275,0.05266234651207924,0.03630959615111351,False
1049,2016,Super conducting synchronous machine comprising a rotor which can rotate in relation to a stator and which has at least one super conducting winding,37,51,28,0.04503228887915611,0.0445222333073616,0.0005100555717945099,50,Review - Survey,16,Handling of,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.077), 16 Material - Handling of (0.070), 28 Computation - Stability and other (0.060)",0.07667654007673264,0.06967683136463165,0.006999708712100983,False
1078,2017,DEVICES AND METHODS FOR SEPARATING PARTICLES,37,51,28,0.04503228887915611,0.0445222333073616,0.0005100555717945099,16,Handling of,14,Evaluation / Characterization,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.115), 14 Material - Evaluation / Characterization (0.075), 50 Review - Survey (0.061)",0.11486940085887909,0.07508574426174164,0.03978365659713745,False
21,2001,Ferrofluid cap seal for spindle motor,28,21,48,0.03512730449438095,0.03458850458264351,0.000538799911737442,50,Review - Survey,16,Handling of,48,"Levitation, Spin of droplets","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.083), 16 Material - Handling of (0.060), 48 Application - Levitation, Spin of droplets (0.059)",0.08315504342317581,0.060221269726753235,0.022933773696422577,False
28,2002,Ferrofluid cap seal for spindle motor,28,21,48,0.03512730449438095,0.03458850458264351,0.000538799911737442,50,Review - Survey,16,Handling of,48,"Levitation, Spin of droplets","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.083), 16 Material - Handling of (0.060), 48 Application - Levitation, Spin of droplets (0.059)",0.08315504342317581,0.060221269726753235,0.022933773696422577,False
311,2000,Miniature crossed coil gauge having an active flux ring,11,28,46,0.03988215699791908,0.03932223096489906,0.0005599260330200195,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.098), 45 Application - Flow (0.072), 16 Material - Handling of (0.051)",0.0981224924325943,0.07162605226039886,0.026496440172195435,False
409,1996,Centrifugal pump with electromagnetic actuator mechanism,49,24,44,0.04342598840594292,0.042859919369220734,0.0005660690367221832,38,Using principles of magnetic induction,50,Review - Survey,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.112), 50 Review - Survey (0.068), 37 Experimentation - Other than evaluation indicated in class 14 above (0.045)",0.11223535239696503,0.06807272881269455,0.04416262358427048,False
518,2002,Magnetically actuated fluid handling devices for microfluidic applications,49,24,44,0.04342598840594292,0.042859919369220734,0.0005660690367221832,16,Handling of,50,Review - Survey,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.092), 50 Review - Survey (0.091), 45 Application - Flow (0.059)",0.09221095591783524,0.09059207141399384,0.0016188845038414001,False
798,2016,METHODS AND SYSTEMS FOR TIME-OF-FLIGHT AFFINITY CYTOMETRY,49,37,23,0.04154901206493378,0.04096657782793045,0.0005824342370033264,50,Review - Survey,14,Evaluation / Characterization,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.082), 14 Material - Evaluation / Characterization (0.078), 38 Application - Using principles of magnetic induction (0.063)",0.08218109607696533,0.07758032530546188,0.0046007707715034485,False
799,2019,Magnetic closures,49,37,23,0.04154901206493378,0.04096657782793045,0.0005824342370033264,50,Review - Survey,16,Handling of,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.080), 16 Material - Handling of (0.060), 28 Computation - Stability and other (0.059)",0.0803738385438919,0.06019383296370506,0.020180005580186844,False
376,1997,Conductive lubricant for magnetic disk drives,26,22,21,0.04989670217037201,0.049302540719509125,0.0005941614508628845,47,"Bearing, Seal, Lubricant",50,Review - Survey,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 47 Application - Bearing, Seal, Lubricant (0.100), 50 Review - Survey (0.079), 37 Experimentation - Other than evaluation indicated in class 14 above (0.054)",0.1000819057226181,0.07944305986166,0.0206388458609581,False
1098,2015,Two-dimensional Magnetic Trap Arrays for Droplet Control,44,41,43,0.040623631328344345,0.04001942276954651,0.0006042085587978363,15,"Manipulation, Droplets, other",50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 15 Material - Manipulation, Droplets, other (0.076), 50 Review - Survey (0.075), 16 Material - Handling of (0.053)",0.07647215574979782,0.0750444084405899,0.0014277473092079163,False
1109,2022,PATTERNING STRUCTURES IN REACTIVE FERROFLUIDIC POLYMER RESINS,44,41,43,0.040623631328344345,0.04001942276954651,0.0006042085587978363,38,Using principles of magnetic induction,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.089), 50 Review - Survey (0.076), 14 Material - Evaluation / Characterization (0.053)",0.08915027976036072,0.07646632194519043,0.012683957815170288,False
661,2022,Programmable matter,44,37,24,0.03886177018284798,0.038213808089494705,0.0006479620933532715,50,Review - Survey,16,Handling of,51,chapter,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.084), 16 Material - Handling of (0.060), 51 Book / Book - chapter (0.052)",0.08435355126857758,0.05950518324971199,0.024848368018865585,False
714,2010,Systems and methods for tuning properties of nanoparticles,44,37,24,0.03886177018284798,0.038213808089494705,0.0006479620933532715,50,Review - Survey,16,Handling of,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.080), 16 Material - Handling of (0.069), 38 Application - Using principles of magnetic induction (0.056)",0.08042237162590027,0.06872154027223587,0.011700831353664398,False
668,2017,"Imaging probes and associated devices, and systems utilizing ferrofluid-impregnated actuators",24,49,29,0.04218727722764015,0.04153171554207802,0.0006555616855621338,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.093), 16 Material - Handling of (0.057), 13 Material - Properties (0.053)",0.09255611896514893,0.05665136128664017,0.03590475767850876,False
544,2004,Novel nanomagnetic particles,11,24,22,0.042799610644578934,0.04214209318161011,0.0006575174629688263,13,Properties,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 13 Material - Properties (0.098), 50 Review - Survey (0.081), 14 Material - Evaluation / Characterization (0.077)",0.098133385181427,0.08061303943395615,0.017520345747470856,False
545,1989,Method for the connection of biological structures,11,24,22,0.042799610644578934,0.04214209318161011,0.0006575174629688263,46,Heat transfer,50,Review - Survey,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.086), 50 Review - Survey (0.073), 38 Application - Using principles of magnetic induction (0.067)",0.08619526028633118,0.0732065811753273,0.012988679111003876,False
693,2016,ALIGNMENT OF THREE DIMENSIONAL INTEGRATED CIRCUIT COMPONENTS,16,11,15,0.04091783985495567,0.04023926332592964,0.0006785765290260315,50,Review - Survey,28,Stability and other,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.094), 28 Computation - Stability and other (0.057), 14 Material - Evaluation / Characterization (0.052)",0.09354983270168304,0.057219117879867554,0.03633071482181549,False
706,2021,Ferrofluidic cooling and acoustical noise reduction in magnetic stimulators,16,11,15,0.04091783985495567,0.04023926332592964,0.0006785765290260315,50,Review - Survey,15,"Manipulation, Droplets, other",37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.075), 15 Material - Manipulation, Droplets, other (0.056), 37 Experimentation - Other than evaluation indicated in class 14 above (0.055)",0.07494232803583145,0.05615278333425522,0.018789544701576233,False
1269,2023,Information handling system mass balancing thermal reservoirs,22,24,26,0.04049810767173767,0.039818793535232544,0.000679314136505127,50,Review - Survey,46,Heat transfer,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.084), 46 Application - Heat transfer (0.069), 28 Computation - Stability and other (0.061)",0.08387123793363571,0.06873507052659988,0.015136167407035828,False
1237,2024,Drill bit with reciprocating gauge assembly,22,24,26,0.04049810767173767,0.039818793535232544,0.000679314136505127,50,Review - Survey,28,Stability and other,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.076), 28 Computation - Stability and other (0.059), 16 Material - Handling of (0.050)",0.07649707794189453,0.0591503344476223,0.017346743494272232,False
1333,2010,SHIGA TOXIN B-SUBUNIT AS A VECTOR FOR TUMOR DIAGNOSIS AND DRUG DELIVERY TO GB3 EXPRESSING TUMORS,37,24,28,0.182062566280365,0.18138113617897034,0.0006814301013946533,42,Biomedical,41,Medical (Pharmaceutical),45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 42 Application - Biomedical (0.072), 41 Application - Medical (Pharmaceutical) (0.069), 45 Application - Flow (0.066)",0.07171758264303207,0.06859976798295975,0.0031178146600723267,False
2,2001,Ferrofluid sculpting apparatus,48,47,37,0.04158922657370567,0.04089825600385666,0.0006909705698490143,50,Review - Survey,38,Using principles of magnetic induction,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 38 Application - Using principles of magnetic induction (0.069), 37 Experimentation - Other than evaluation indicated in class 14 above (0.069)",0.086260125041008,0.0688304752111435,0.017429649829864502,False
69,1983,Single-pole-piece ferrofluid seal apparatus and exclusion seal system,21,22,26,0.0492435060441494,0.04854616895318031,0.0006973370909690857,50,Review - Survey,37,Other than evaluation indicated in class 14 above,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 37 Experimentation - Other than evaluation indicated in class 14 above (0.057), 45 Application - Flow (0.053)",0.07944273948669434,0.057210758328437805,0.02223198115825653,False
823,2013,MAGNETIC ASSEMBLY OF NONMAGNETIC PARTICLES INTO PHOTONIC CRYSTAL STRUCTURES,26,28,47,0.03649808093905449,0.035793237388134,0.0007048435509204865,38,Using principles of magnetic induction,50,Review - Survey,12,Formulation,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.182), 50 Review - Survey (0.059), 12 Material - Formulation (0.053)",0.18227484822273254,0.0593438595533371,0.12293098866939545,False
144,2001,Ferrofluidic finishing,49,24,29,0.0392681360244751,0.03853950649499893,0.0007286295294761658,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 38 Application - Using principles of magnetic induction (0.066), 16 Material - Handling of (0.061)",0.0859881192445755,0.06591233611106873,0.020075783133506775,False
607,2016,Method and apparatus for improving heat transfer in industrial water systems with ferrofluids,41,38,24,0.07735389471054077,0.07661639153957367,0.000737503170967102,46,Heat transfer,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.094), 50 Review - Survey (0.068), 16 Material - Handling of (0.061)",0.09444338083267212,0.06811781972646713,0.026325561106204987,False
652,2016,Label-free cellular manipulation and sorting via biocompatible ferrofluids,41,38,24,0.07735389471054077,0.07661639153957367,0.000737503170967102,38,Using principles of magnetic induction,50,Review - Survey,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.068), 50 Review - Survey (0.067), 45 Application - Flow (0.056)",0.06848950684070587,0.06672259420156479,0.0017669126391410828,False
146,2009,Audio Speaker Utilizing an Unanchored Magnet for Primary Force Generation,37,47,24,0.0726684182882309,0.07192292809486389,0.0007454901933670044,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.092), 38 Application - Using principles of magnetic induction (0.074), 16 Material - Handling of (0.064)",0.09171505272388458,0.07361958920955658,0.018095463514328003,False
152,2006,Audio speaker utilizing an unanchored magnet for primary force generation,37,47,24,0.0726684182882309,0.07192292809486389,0.0007454901933670044,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.092), 38 Application - Using principles of magnetic induction (0.074), 16 Material - Handling of (0.064)",0.09171505272388458,0.07361958920955658,0.018095463514328003,False
155,2008,Audio speaker utilizing an unanchored magnet for primary force generation,37,47,24,0.0726684182882309,0.07192292809486389,0.0007454901933670044,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.092), 38 Application - Using principles of magnetic induction (0.074), 16 Material - Handling of (0.064)",0.09171505272388458,0.07361958920955658,0.018095463514328003,False
679,2021,SOLENOID OCCLUSION DEVICE,37,47,24,0.0726684182882309,0.07192292809486389,0.0007454901933670044,16,Handling of,50,Review - Survey,42,Biomedical,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.073), 50 Review - Survey (0.068), 42 Application - Biomedical (0.057)",0.07328180968761444,0.06842157989740372,0.004860229790210724,False
1340,2024,Thermal Energy Storage System Including a Plurality of Vessels Each Having Hot and Cold Liquid Portions Separated by a Floating Piston,22,21,26,0.04594307765364647,0.04519260302186012,0.0007504746317863464,46,Heat transfer,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.103), 50 Review - Survey (0.077), 16 Material - Handling of (0.069)",0.10281433165073395,0.07692693918943405,0.025887392461299896,False
322,1992,BEARING FOR USE IN HIGH RESOLUTION PRECISION CONTROL DEVICE,49,24,40,0.039751116186380386,0.03899480029940605,0.0007563158869743347,50,Review - Survey,28,Stability and other,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.088), 28 Computation - Stability and other (0.071), 38 Application - Using principles of magnetic induction (0.056)",0.08848465234041214,0.07112404704093933,0.01736060529947281,False
400,2005,Spinning concentrator enhanced solar energy alternating current production,49,24,40,0.039751116186380386,0.03899480029940605,0.0007563158869743347,50,Review - Survey,37,Other than evaluation indicated in class 14 above,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.097), 37 Experimentation - Other than evaluation indicated in class 14 above (0.069), 16 Material - Handling of (0.063)",0.09670303761959076,0.06934012472629547,0.027362912893295288,False
720,2011,SELF-PROPELLED ROBOTIC DEVICE THAT MOVES THROUGH BODILY AND OTHER PASSAGEWAYS,28,16,24,0.03768360614776611,0.03691333532333374,0.000770270824432373,38,Using principles of magnetic induction,50,Review - Survey,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.088), 50 Review - Survey (0.075), 45 Application - Flow (0.070)",0.0881883054971695,0.07473044097423553,0.01345786452293396,False
18,1978,Inertia damper using ferrofluid,21,22,49,0.07714077830314636,0.07636409997940063,0.0007766783237457275,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.070), 16 Material - Handling of (0.068), 14 Material - Evaluation / Characterization (0.056)",0.06980974972248077,0.06794516742229462,0.0018645823001861572,False
678,2013,Ferrofluidic cooling and acoustical noise reduction in magnetic stimulators,15,24,11,0.04395580664277077,0.043166279792785645,0.0007895268499851227,50,Review - Survey,38,Using principles of magnetic induction,46,Heat transfer,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.073), 38 Application - Using principles of magnetic induction (0.064), 46 Application - Heat transfer (0.055)",0.07326345145702362,0.06407378613948822,0.0091896653175354,False
1189,2021,PRESSURE SENSORS,11,16,13,0.04135643690824509,0.04055723920464516,0.0007991977035999298,50,Review - Survey,16,Handling of,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.073), 16 Material - Handling of (0.067), 28 Computation - Stability and other (0.056)",0.07294876128435135,0.06736910343170166,0.005579657852649689,False
367,2009,METHOD AND APPARATUS OF DIFFERENTIAL PUMPING IN AN X-RAY TUBE,49,24,48,0.036438412964344025,0.03563349321484566,0.0008049197494983673,16,Handling of,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.067), 50 Review - Survey (0.064), 14 Material - Evaluation / Characterization (0.063)",0.06701178103685379,0.06400251388549805,0.0030092671513557434,False
365,1998,On-site fillable liquid magnetic seal,22,24,26,0.05551304668188095,0.05470739305019379,0.0008056536316871643,50,Review - Survey,45,Flow,47,"Bearing, Seal, Lubricant","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.072), 45 Application - Flow (0.065), 47 Application - Bearing, Seal, Lubricant (0.060)",0.07213062047958374,0.06508789211511612,0.007042728364467621,False
131,1989,Ferrofluid exclusion seal and method of assembly,12,24,16,0.05038231238722801,0.049575839191675186,0.0008064731955528259,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.068), 16 Material - Handling of (0.057), 14 Material - Evaluation / Characterization (0.055)",0.06804895401000977,0.056722164154052734,0.011326789855957031,False
1327,2010,SYSTEMS AND METHODS FOR MAKING AND USING A MOTOR DISTALLY-POSITIONED WITHIN A CATHETER OF AN INTRAVASCULAR ULTRASOUND IMAGING SYSTEM,15,21,28,0.05359996110200882,0.05276574194431305,0.0008342191576957703,50,Review - Survey,42,Biomedical,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 42 Application - Biomedical (0.065), 16 Material - Handling of (0.060)",0.07820133119821548,0.06500257551670074,0.01319875568151474,False
226,2000,Compositions and method for providing anisotropic conductive pathways and bonds between two sets of conductors,22,21,26,0.04585568979382515,0.04500741884112358,0.0008482709527015686,50,Review - Survey,16,Handling of,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.089), 16 Material - Handling of (0.057), 45 Application - Flow (0.054)",0.08908198028802872,0.05674252659082413,0.03233945369720459,False
411,1987,Rotational motion fluid loop sensor using magnetically levitated detecting element,49,16,47,0.05202925577759743,0.0511731393635273,0.0008561164140701294,50,Review - Survey,45,Flow,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 45 Application - Flow (0.065), 38 Application - Using principles of magnetic induction (0.050)",0.07902209460735321,0.06535178422927856,0.013670310378074646,False
412,2003,Low torque seal assembly with open cell filter media,49,16,47,0.05202925577759743,0.0511731393635273,0.0008561164140701294,50,Review - Survey,47,"Bearing, Seal, Lubricant",14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.093), 47 Application - Bearing, Seal, Lubricant (0.060), 14 Material - Evaluation / Characterization (0.059)",0.09309133887290955,0.0604790635406971,0.03261227533221245,False
684,2017,MAGNETIC FLUID OPTICAL IMAGE STABILIZATION,24,49,29,0.03774277865886688,0.03686653450131416,0.0008762441575527191,16,Handling of,50,Review - Survey,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.087), 50 Review - Survey (0.079), 38 Application - Using principles of magnetic induction (0.057)",0.08708654344081879,0.07946159690618515,0.0076249465346336365,False
686,2016,Method and apparatus for filtering high-frequency electromagnetic beams and irradiation apparatus or device for irradiating an object,24,49,29,0.03774277865886688,0.03686653450131416,0.0008762441575527191,50,Review - Survey,38,Using principles of magnetic induction,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 38 Application - Using principles of magnetic induction (0.061), 37 Experimentation - Other than evaluation indicated in class 14 above (0.057)",0.07378456741571426,0.06119402498006821,0.012590542435646057,False
690,2020,Solenoid occlusion device,24,49,29,0.03774277865886688,0.03686653450131416,0.0008762441575527191,16,Handling of,50,Review - Survey,42,Biomedical,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.073), 50 Review - Survey (0.068), 42 Application - Biomedical (0.057)",0.07328180968761444,0.06842157989740372,0.004860229790210724,False
697,2016,MAGNETICALLY INDUCED HAIR BRUSH CLEANER SYSTEM AND METHOD OF USING SAME,24,49,29,0.03774277865886688,0.03686653450131416,0.0008762441575527191,38,Using principles of magnetic induction,50,Review - Survey,48,"Levitation, Spin of droplets","Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.201), 50 Review - Survey (0.059), 48 Application - Levitation, Spin of droplets (0.046)",0.20095370709896088,0.0594693124294281,0.14148439466953278,False
667,2020,"SYSTEMS, METHODS AND DEVICES FOR MAGNETIC SCANNING FOR FERROFLUID BASED ASSAY",16,29,22,0.03641808032989502,0.03554161265492439,0.0008764676749706268,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.071), 16 Material - Handling of (0.059), 14 Material - Evaluation / Characterization (0.053)",0.07142143696546555,0.05922851711511612,0.012192919850349426,False
666,2020,PROGRAMMABLE MATTER,16,29,22,0.03641808032989502,0.03554161265492439,0.0008764676749706268,50,Review - Survey,16,Handling of,51,chapter,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.084), 16 Material - Handling of (0.060), 51 Book / Book - chapter (0.052)",0.08435355126857758,0.05950518324971199,0.024848368018865585,False
1336,2010,Variable motion control devices for transmission and other implementations and methods of use thereof,37,24,29,0.04119490087032318,0.04030931740999222,0.0008855834603309631,50,Review - Survey,28,Stability and other,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.089), 28 Computation - Stability and other (0.060), 45 Application - Flow (0.060)",0.08862302452325821,0.05971501022577286,0.02890801429748535,False
1304,2023,Thermal energy storage system including a vessel having hot and cold liquid portions separated by floating piston,37,24,29,0.04119490087032318,0.04030931740999222,0.0008855834603309631,46,Heat transfer,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.103), 50 Review - Survey (0.077), 16 Material - Handling of (0.069)",0.10281433165073395,0.07692693918943405,0.025887392461299896,False
1300,2022,Moisture Detection and Indicator System and Method of Use while Maintaining Roof Membrane Integrity,37,24,29,0.04119490087032318,0.04030931740999222,0.0008855834603309631,50,Review - Survey,16,Handling of,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.072), 16 Material - Handling of (0.055), 45 Application - Flow (0.055)",0.07204688340425491,0.055495910346508026,0.016550973057746887,False
1308,2023,Thermal Energy Storage System,37,24,29,0.04119490087032318,0.04030931740999222,0.0008855834603309631,46,Heat transfer,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.103), 50 Review - Survey (0.077), 16 Material - Handling of (0.069)",0.10281433165073395,0.07692693918943405,0.025887392461299896,False
542,1993,Magnetic positioning device,24,29,15,0.0362330786883831,0.035344310104846954,0.0008887685835361481,50,Review - Survey,28,Stability and other,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.093), 28 Computation - Stability and other (0.060), 16 Material - Handling of (0.055)",0.09302431344985962,0.06005902960896492,0.0329652838408947,False
67,1986,Electrically conductive ferrofluid compositions and method of preparing and using same,40,49,51,0.04261641204357147,0.04172740876674652,0.0008890032768249512,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.067), 16 Material - Handling of (0.061), 13 Material - Properties (0.051)",0.06665555387735367,0.0608985498547554,0.005757004022598267,False
